Athlete Name,Athlete Position,Athlete Groups,Start Date,Session Type,Segment Name,Duration (mins),Session Load,Distance (m),Metres per Minute (m),High Intensity Running (m),No. of High Intensity Events,Sprint Distance (m),No. of Sprints,Top Speed (m/s),Percentage of Max Speed,Avg Speed (m/s),Accelerations,Decelerations
Daniel Longo,Centre Midfielder,UNCG,2025-09-11,Training Session,Whole Session,105.0,739.0,5089.0,48.0,32.0,2.0,0.0,0.0,6.5,83.4,0.8,46.0,15.0
Steven Hernandez,Left Winger,UNCG,2025-09-11,Training Session,Whole Session,105.0,610.0,4885.0,47.0,300.0,24.0,26.0,4.0,7.5,89.1,0.8,41.0,32.0
Enzo Dovlo,Right Winger,UNCG,2025-09-11,Training Session,Whole Session,105.0,751.0,5537.0,53.0,196.0,19.0,21.0,2.0,7.6,91.8,0.9,40.0,29.0
Adam Rustami,Right Winger,UNCG,2025-09-11,Training Session,Whole Session,105.0,452.0,3343.0,32.0,105.0,9.0,13.0,1.0,7.5,88.4,0.5,36.0,19.0
Ben,Centre Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,13.0,371.0,4.0,0.0,0.0,0.0,0.0,1.4,17.9,0.1,0.0,0.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,1231.0,8284.0,92.0,279.0,29.0,93.0,6.0,8.0,100.7,1.5,52.0,59.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,1501.0,9581.0,106.0,343.0,34.0,160.0,9.0,8.6,102.7,1.8,83.0,77.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,8.0,226.0,3.0,0.0,0.0,0.0,0.0,1.6,19.3,0.0,0.0,0.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,17.0,420.0,5.0,0.0,0.0,0.0,0.0,2.2,26.1,0.1,0.0,0.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,11.0,269.0,3.0,0.0,0.0,0.0,0.0,4.2,53.0,0.0,0.0,0.0
Téva Lossec,Left Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,1972.0,10401.0,116.0,530.0,48.0,139.0,10.0,8.3,95.6,1.9,65.0,80.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,1570.0,9467.0,105.0,316.0,32.0,64.0,5.0,8.1,95.3,1.8,65.0,64.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-13,Match Session,Whole Session,90.0,533.0,3398.0,38.0,225.0,15.0,11.0,1.0,7.7,90.8,0.6,28.0,33.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-13,Match Session,Whole Session,90.0,432.0,2542.0,28.0,106.0,10.0,20.0,2.0,7.6,92.5,0.5,17.0,24.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-09-13,Match Session,Whole Session,90.0,8.0,191.0,2.0,0.0,0.0,0.0,0.0,1.5,18.3,0.0,0.0,0.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-09-13,Match Session,Whole Session,90.0,10.0,221.0,2.0,0.0,0.0,0.0,0.0,2.3,30.2,0.0,0.0,0.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-09-13,Match Session,Whole Session,90.0,14.0,218.0,2.0,0.0,0.0,0.0,0.0,2.7,35.1,0.0,0.0,0.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-09-13,Match Session,Whole Session,90.0,1833.0,9638.0,107.0,493.0,60.0,128.0,13.0,7.7,95.9,1.8,87.0,88.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-09-13,Match Session,Whole Session,90.0,31.0,635.0,7.0,0.0,0.0,0.0,0.0,3.0,37.3,0.1,0.0,0.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-09-13,Match Session,Whole Session,90.0,10.0,256.0,3.0,0.0,0.0,0.0,0.0,1.4,17.4,0.0,0.0,0.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-09-13,Match Session,Whole Session,90.0,1523.0,9643.0,107.0,183.0,19.0,12.0,1.0,7.9,100.1,1.8,48.0,81.0
Colton Sessoms,Centre Forward,UNCG,2025-09-13,Match Session,Whole Session,90.0,465.0,3272.0,36.0,185.0,20.0,47.0,4.0,7.5,90.9,0.6,19.0,23.0
Arnaud Tattevin,Centre Forward,UNCG,2025-09-13,Match Session,Whole Session,90.0,1351.0,8161.0,91.0,397.0,41.0,99.0,5.0,8.8,103.4,1.5,59.0,63.0
Xavi Wences,Centre Midfielder,UNCG,2025-09-13,Match Session,Whole Session,90.0,28.0,200.0,2.0,0.0,0.0,0.0,0.0,4.1,49.1,0.0,0.0,0.0
Daniel Longo,Centre Midfielder,UNCG,2025-09-13,Match Session,Whole Session,90.0,1901.0,10721.0,119.0,256.0,26.0,0.0,0.0,6.9,88.4,2.0,66.0,78.0
Steven Hernandez,Left Winger,UNCG,2025-09-13,Match Session,Whole Session,90.0,1127.0,6755.0,75.0,363.0,40.0,168.0,8.0,8.7,103.4,1.2,52.0,48.0
Adam Rustami,Right Winger,UNCG,2025-09-13,Match Session,Whole Session,90.0,8.0,188.0,2.0,0.0,0.0,0.0,0.0,1.7,20.1,0.0,0.0,0.0
Enzo Dovlo,Right Winger,UNCG,2025-09-13,Match Session,Whole Session,90.0,1099.0,6606.0,73.0,375.0,47.0,244.0,16.0,8.6,104.1,1.2,44.0,54.0
Ben,Centre Back,"Defense, UNCG",2025-09-15,Training Session,Whole Session,70.0,664.0,4408.0,63.0,6.0,1.0,0.0,0.0,5.7,71.5,1.0,47.0,28.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-15,Training Session,Whole Session,70.0,759.0,4977.0,71.0,65.0,6.0,0.0,0.0,6.6,79.3,1.2,56.0,41.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-15,Training Session,Whole Session,70.0,802.0,4650.0,66.0,67.0,8.0,0.0,0.0,6.5,77.3,1.1,67.0,33.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-15,Training Session,Whole Session,70.0,775.0,4703.0,67.0,71.0,9.0,0.0,0.0,7.1,89.5,1.1,86.0,48.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-15,Training Session,Whole Session,70.0,741.0,4672.0,67.0,81.0,10.0,0.0,0.0,6.6,77.5,1.1,78.0,56.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-15,Training Session,Whole Session,70.0,898.0,5087.0,73.0,58.0,5.0,0.0,0.0,7.2,87.8,1.2,76.0,32.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-09-15,Training Session,Whole Session,70.0,851.0,4995.0,71.0,17.0,3.0,0.0,0.0,5.9,70.9,1.2,59.0,35.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-09-15,Training Session,Whole Session,70.0,722.0,4718.0,67.0,103.0,11.0,0.0,0.0,6.7,86.8,1.1,66.0,38.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-09-15,Training Session,Whole Session,70.0,1004.0,5328.0,76.0,79.0,8.0,0.0,0.0,6.6,85.8,1.3,87.0,45.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-09-15,Training Session,Whole Session,70.0,685.0,4800.0,69.0,52.0,6.0,0.0,0.0,6.4,80.1,1.1,83.0,40.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-09-15,Training Session,Whole Session,70.0,749.0,4638.0,66.0,35.0,4.0,0.0,0.0,6.6,79.3,1.1,83.0,38.0
Colton Sessoms,Centre Forward,UNCG,2025-09-15,Training Session,Whole Session,70.0,622.0,4354.0,62.0,59.0,7.0,7.0,1.0,7.3,88.0,1.0,69.0,33.0
Xavi Wences,Centre Midfielder,UNCG,2025-09-15,Training Session,Whole Session,70.0,1279.0,5059.0,72.0,92.0,12.0,19.0,3.0,8.1,97.2,1.2,86.0,74.0
Adam Rustami,Right Winger,UNCG,2025-09-15,Training Session,Whole Session,70.0,741.0,4472.0,64.0,21.0,4.0,0.0,0.0,6.4,75.5,1.1,66.0,43.0
Ben,Centre Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,546.0,4757.0,49.0,107.0,8.0,5.0,1.0,7.0,86.9,0.8,33.0,20.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,646.0,4995.0,51.0,127.0,14.0,22.0,2.0,7.5,89.5,0.8,37.0,33.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,739.0,5345.0,55.0,133.0,15.0,91.0,6.0,8.2,95.5,0.9,67.0,44.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,662.0,5078.0,52.0,120.0,13.0,15.0,2.0,7.3,92.0,0.9,36.0,26.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,601.0,4936.0,50.0,184.0,19.0,0.0,0.0,7.2,86.1,0.8,47.0,48.0
Téva Lossec,Left Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,983.0,6022.0,61.0,392.0,34.0,76.0,6.0,7.9,90.6,1.0,77.0,55.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,678.0,5186.0,53.0,184.0,21.0,26.0,2.0,7.8,98.5,0.9,79.0,59.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,784.0,5805.0,59.0,281.0,26.0,8.0,1.0,7.5,89.1,1.0,69.0,54.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-16,Training Session,Whole Session,98.0,802.0,5909.0,60.0,301.0,31.0,43.0,6.0,7.5,87.5,1.0,73.0,63.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-16,Training Session,Whole Session,98.0,711.0,5411.0,55.0,98.0,11.0,4.0,1.0,7.3,88.6,0.9,73.0,50.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-09-16,Training Session,Whole Session,98.0,849.0,5699.0,58.0,443.0,40.0,70.0,4.0,7.7,92.2,1.0,65.0,58.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-09-16,Training Session,Whole Session,98.0,597.0,4860.0,50.0,86.0,7.0,9.0,1.0,7.4,95.9,0.8,46.0,40.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-09-16,Training Session,Whole Session,98.0,676.0,4585.0,47.0,165.0,14.0,12.0,2.0,7.2,93.2,0.8,55.0,36.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-09-16,Training Session,Whole Session,98.0,634.0,4365.0,45.0,71.0,9.0,19.0,1.0,7.2,90.4,0.7,61.0,42.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-09-16,Training Session,Whole Session,98.0,579.0,4343.0,44.0,21.0,2.0,0.0,0.0,6.1,73.2,0.7,49.0,25.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-09-16,Training Session,Whole Session,98.0,647.0,5082.0,52.0,49.0,6.0,0.0,0.0,6.8,86.5,0.9,40.0,54.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-09-16,Training Session,Whole Session,98.0,508.0,4217.0,43.0,169.0,16.0,14.0,1.0,7.2,90.0,0.7,46.0,32.0
Arnaud Tattevin,Centre Forward,UNCG,2025-09-16,Training Session,Whole Session,98.0,638.0,4807.0,49.0,204.0,18.0,0.0,0.0,6.9,78.9,0.8,65.0,58.0
Colton Sessoms,Centre Forward,UNCG,2025-09-16,Training Session,Whole Session,98.0,580.0,4575.0,47.0,303.0,30.0,6.0,1.0,7.1,86.2,0.8,62.0,47.0
Daniel Longo,Centre Midfielder,UNCG,2025-09-16,Training Session,Whole Session,98.0,790.0,5532.0,56.0,113.0,13.0,38.0,2.0,7.4,96.1,0.9,49.0,33.0
Xavi Wences,Centre Midfielder,UNCG,2025-09-16,Training Session,Whole Session,98.0,1202.0,4539.0,46.0,129.0,20.0,4.0,1.0,7.0,84.4,0.8,75.0,76.0
Steven Hernandez,Left Winger,UNCG,2025-09-16,Training Session,Whole Session,98.0,810.0,6030.0,62.0,458.0,47.0,54.0,9.0,7.5,86.4,1.0,73.0,53.0
Enzo Dovlo,Right Winger,UNCG,2025-09-16,Training Session,Whole Session,98.0,642.0,5278.0,54.0,141.0,16.0,43.0,3.0,8.1,93.3,0.9,37.0,30.0
Adam Rustami,Right Winger,UNCG,2025-09-16,Training Session,Whole Session,98.0,854.0,5763.0,59.0,352.0,35.0,52.0,6.0,7.7,91.1,1.0,56.0,47.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,509.0,3710.0,41.0,28.0,4.0,0.0,0.0,6.5,75.6,0.7,48.0,19.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,718.0,5415.0,60.0,188.0,16.0,43.0,3.0,7.8,93.1,1.0,41.0,39.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,0.0,0.0
Ben,Centre Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,478.0,4037.0,45.0,5.0,1.0,0.0,0.0,5.7,70.4,0.7,36.0,14.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,489.0,4088.0,45.0,9.0,1.0,0.0,0.0,5.9,73.5,0.8,38.0,12.0
Téva Lossec,Left Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,910.0,5141.0,57.0,135.0,10.0,8.0,1.0,7.3,83.2,1.0,58.0,24.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,650.0,4722.0,52.0,178.0,15.0,0.0,0.0,6.9,86.8,0.9,57.0,51.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,868.0,5461.0,61.0,183.0,20.0,25.0,4.0,7.6,89.3,1.0,68.0,29.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-17,Training Session,Whole Session,90.0,499.0,3472.0,39.0,129.0,16.0,16.0,2.0,7.2,83.8,0.6,47.0,25.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-17,Training Session,Whole Session,90.0,736.0,5014.0,56.0,132.0,14.0,0.0,0.0,6.8,82.5,0.9,49.0,28.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-09-17,Training Session,Whole Session,90.0,496.0,3861.0,43.0,54.0,7.0,4.0,1.0,7.1,85.6,0.7,26.0,18.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-09-17,Training Session,Whole Session,90.0,518.0,4000.0,44.0,4.0,1.0,0.0,0.0,5.6,72.4,0.7,56.0,22.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-09-17,Training Session,Whole Session,90.0,909.0,5475.0,61.0,85.0,9.0,0.0,0.0,6.7,87.2,1.0,68.0,42.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-09-17,Training Session,Whole Session,90.0,739.0,4704.0,52.0,21.0,2.0,0.0,0.0,6.5,81.2,0.9,67.0,37.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-09-17,Training Session,Whole Session,90.0,655.0,4957.0,55.0,50.0,5.0,12.0,2.0,7.2,89.5,0.9,42.0,26.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-09-17,Training Session,Whole Session,90.0,423.0,3125.0,35.0,11.0,1.0,0.0,0.0,6.4,77.3,0.6,29.0,10.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-09-17,Training Session,Whole Session,90.0,474.0,3748.0,42.0,48.0,4.0,7.0,1.0,7.4,93.8,0.7,35.0,20.0
Arnaud Tattevin,Centre Forward,UNCG,2025-09-17,Training Session,Whole Session,90.0,611.0,4207.0,47.0,70.0,5.0,0.0,0.0,6.8,77.5,0.8,43.0,38.0
Colton Sessoms,Centre Forward,UNCG,2025-09-17,Training Session,Whole Session,90.0,549.0,4203.0,47.0,76.0,9.0,15.0,2.0,7.3,88.5,0.8,40.0,29.0
Xavi Wences,Centre Midfielder,UNCG,2025-09-17,Training Session,Whole Session,90.0,620.0,2869.0,32.0,6.0,1.0,0.0,0.0,6.1,73.5,0.5,46.0,21.0
Daniel Longo,Centre Midfielder,UNCG,2025-09-17,Training Session,Whole Session,90.0,590.0,4136.0,46.0,4.0,1.0,0.0,0.0,5.6,72.8,0.8,41.0,18.0
Steven Hernandez,Left Winger,UNCG,2025-09-17,Training Session,Whole Session,90.0,654.0,4700.0,52.0,153.0,18.0,17.0,3.0,7.2,82.5,0.9,57.0,33.0
Adam Rustami,Right Winger,UNCG,2025-09-17,Training Session,Whole Session,90.0,776.0,4947.0,55.0,121.0,13.0,22.0,3.0,7.4,87.8,0.9,55.0,37.0
Enzo Dovlo,Right Winger,UNCG,2025-09-17,Training Session,Whole Session,90.0,521.0,4251.0,47.0,92.0,9.0,0.0,0.0,7.0,80.6,0.8,35.0,19.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,452.0,3504.0,39.0,0.0,0.0,0.0,0.0,4.9,58.2,0.6,22.0,12.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,392.0,3593.0,40.0,0.0,0.0,0.0,0.0,5.4,66.6,0.7,26.0,19.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,432.0,3443.0,38.0,30.0,2.0,0.0,0.0,6.9,80.3,0.6,34.0,15.0
Ben,Centre Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,417.0,3604.0,40.0,0.0,0.0,0.0,0.0,5.0,62.7,0.7,17.0,13.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,516.0,4556.0,51.0,13.0,2.0,0.0,0.0,5.9,70.7,0.8,23.0,15.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,383.0,3441.0,38.0,35.0,5.0,0.0,0.0,6.4,81.1,0.6,25.0,20.0
Téva Lossec,Left Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,582.0,3876.0,43.0,37.0,4.0,5.0,1.0,7.2,82.0,0.7,29.0,17.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,585.0,4001.0,44.0,17.0,2.0,0.0,0.0,6.2,73.5,0.7,30.0,29.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-18,Training Session,Whole Session,90.0,439.0,3512.0,39.0,7.0,1.0,0.0,0.0,6.3,74.1,0.6,32.0,21.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-18,Training Session,Whole Session,90.0,467.0,3764.0,42.0,18.0,3.0,5.0,1.0,7.4,89.5,0.7,24.0,17.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-09-18,Training Session,Whole Session,90.0,503.0,3644.0,40.0,8.0,1.0,0.0,0.0,5.8,70.1,0.7,17.0,13.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-09-18,Training Session,Whole Session,90.0,369.0,3277.0,36.0,15.0,1.0,0.0,0.0,6.3,81.0,0.6,22.0,19.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-09-18,Training Session,Whole Session,90.0,597.0,3924.0,44.0,6.0,1.0,0.0,0.0,5.9,73.4,0.7,25.0,18.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-09-18,Training Session,Whole Session,90.0,373.0,2827.0,31.0,7.0,1.0,0.0,0.0,6.1,76.6,0.5,13.0,15.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-09-18,Training Session,Whole Session,90.0,367.0,3354.0,37.0,6.0,1.0,0.0,0.0,5.8,73.0,0.6,17.0,19.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-09-18,Training Session,Whole Session,90.0,439.0,3713.0,41.0,0.0,0.0,0.0,0.0,5.0,62.1,0.7,18.0,17.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-09-18,Training Session,Whole Session,90.0,155.0,1791.0,20.0,0.0,0.0,0.0,0.0,4.5,54.3,0.3,3.0,2.0
Arnaud Tattevin,Centre Forward,UNCG,2025-09-18,Training Session,Whole Session,90.0,434.0,3465.0,39.0,28.0,3.0,0.0,0.0,6.3,72.2,0.6,33.0,25.0
Colton Sessoms,Centre Forward,UNCG,2025-09-18,Training Session,Whole Session,90.0,413.0,3524.0,39.0,9.0,1.0,0.0,0.0,6.1,73.7,0.7,15.0,11.0
Xavi Wences,Centre Midfielder,UNCG,2025-09-18,Training Session,Whole Session,90.0,791.0,3417.0,38.0,6.0,1.0,0.0,0.0,5.9,71.2,0.6,37.0,27.0
Daniel Longo,Centre Midfielder,UNCG,2025-09-18,Training Session,Whole Session,90.0,574.0,3873.0,43.0,39.0,5.0,0.0,0.0,6.6,84.0,0.7,30.0,20.0
Steven Hernandez,Left Winger,UNCG,2025-09-18,Training Session,Whole Session,90.0,563.0,4045.0,45.0,7.0,1.0,0.0,0.0,6.4,69.8,0.7,32.0,19.0
Adam Rustami,Right Winger,UNCG,2025-09-18,Training Session,Whole Session,90.0,467.0,3252.0,36.0,0.0,0.0,0.0,0.0,5.4,64.4,0.6,30.0,15.0
Enzo Dovlo,Right Winger,UNCG,2025-09-18,Training Session,Whole Session,90.0,468.0,3810.0,42.0,4.0,1.0,0.0,0.0,5.7,65.5,0.7,12.0,11.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,1459.0,9273.0,103.0,298.0,33.0,135.0,9.0,8.3,97.5,1.7,93.0,64.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,1384.0,8294.0,92.0,230.0,22.0,60.0,6.0,8.5,104.4,1.5,52.0,50.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,72.0,999.0,11.0,0.0,0.0,0.0,0.0,4.0,47.3,0.2,1.0,0.0
Ben,Centre Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,76.0,1001.0,11.0,0.0,0.0,0.0,0.0,4.0,49.9,0.2,2.0,0.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,93.0,1294.0,14.0,0.0,0.0,0.0,0.0,5.4,65.0,0.2,1.0,0.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,52.0,943.0,10.0,0.0,0.0,0.0,0.0,3.7,46.5,0.2,2.0,0.0
Téva Lossec,Left Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,2082.0,10483.0,116.0,514.0,45.0,160.0,11.0,8.7,99.5,1.9,75.0,77.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,966.0,5497.0,61.0,197.0,20.0,48.0,5.0,8.1,96.2,1.0,24.0,41.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-19,Match Session,Whole Session,90.0,771.0,5086.0,57.0,245.0,25.0,70.0,6.0,8.1,94.8,0.9,36.0,55.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-19,Match Session,Whole Session,90.0,231.0,1738.0,19.0,29.0,2.0,0.0,0.0,6.8,82.2,0.3,12.0,7.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-09-19,Match Session,Whole Session,90.0,58.0,967.0,11.0,0.0,0.0,0.0,0.0,4.3,51.2,0.2,0.0,0.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-09-19,Match Session,Whole Session,90.0,85.0,1125.0,13.0,0.0,0.0,0.0,0.0,5.1,65.7,0.2,3.0,0.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-09-19,Match Session,Whole Session,90.0,285.0,2086.0,23.0,68.0,2.0,0.0,0.0,6.9,86.1,0.4,5.0,5.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-09-19,Match Session,Whole Session,90.0,1619.0,8701.0,97.0,471.0,46.0,4.0,1.0,7.0,88.2,1.6,84.0,88.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-09-19,Match Session,Whole Session,90.0,279.0,2304.0,26.0,13.0,2.0,0.0,0.0,5.9,73.4,0.4,8.0,9.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-09-19,Match Session,Whole Session,90.0,63.0,1018.0,11.0,0.0,0.0,0.0,0.0,3.9,47.7,0.2,1.0,0.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-09-19,Match Session,Whole Session,90.0,1552.0,9705.0,108.0,203.0,22.0,5.0,1.0,7.0,88.8,1.8,57.0,90.0
Arnaud Tattevin,Centre Forward,UNCG,2025-09-19,Match Session,Whole Session,90.0,1550.0,9318.0,104.0,657.0,63.0,103.0,9.0,8.1,92.2,1.7,78.0,79.0
Colton Sessoms,Centre Forward,UNCG,2025-09-19,Match Session,Whole Session,90.0,97.0,1133.0,13.0,29.0,2.0,0.0,0.0,6.7,81.2,0.2,1.0,1.0
Xavi Wences,Centre Midfielder,UNCG,2025-09-19,Match Session,Whole Session,90.0,138.0,907.0,10.0,0.0,0.0,0.0,0.0,4.2,51.1,0.2,1.0,0.0
Daniel Longo,Centre Midfielder,UNCG,2025-09-19,Match Session,Whole Session,90.0,1979.0,9798.0,109.0,200.0,24.0,8.0,1.0,7.2,92.4,1.8,58.0,71.0
Steven Hernandez,Left Winger,UNCG,2025-09-19,Match Session,Whole Session,90.0,1762.0,9912.0,110.0,605.0,62.0,210.0,15.0,8.7,94.9,1.8,80.0,88.0
Adam Rustami,Right Winger,UNCG,2025-09-19,Match Session,Whole Session,90.0,94.0,1178.0,13.0,0.0,0.0,0.0,0.0,5.2,61.7,0.2,2.0,2.0
Enzo Dovlo,Right Winger,UNCG,2025-09-19,Match Session,Whole Session,90.0,1686.0,9454.0,105.0,652.0,72.0,267.0,19.0,8.5,98.6,1.7,88.0,92.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-09-21,Training Session,Whole Session,65.0,668.0,4380.0,67.0,8.0,2.0,0.0,0.0,5.9,69.9,1.1,58.0,36.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-09-21,Training Session,Whole Session,65.0,678.0,4153.0,64.0,32.0,5.0,0.0,0.0,6.4,76.5,1.1,73.0,33.0
Ben,Centre Back,"Defense, UNCG",2025-09-21,Training Session,Whole Session,65.0,553.0,3797.0,58.0,0.0,0.0,0.0,0.0,5.5,68.9,1.0,36.0,16.0
bautista schmidt,Left Back,"Defense, UNCG",2025-09-21,Training Session,Whole Session,65.0,725.0,4346.0,67.0,148.0,12.0,0.0,0.0,6.7,84.6,1.1,77.0,58.0
Trym Linberg,Right Back,"Defense, UNCG",2025-09-21,Training Session,Whole Session,65.0,437.0,3061.0,47.0,23.0,4.0,0.0,0.0,6.0,70.3,0.8,67.0,27.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-09-21,Training Session,Whole Session,65.0,465.0,3076.0,47.0,23.0,3.0,0.0,0.0,7.0,82.2,0.8,61.0,18.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-09-21,Training Session,Whole Session,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
